[2025-08-05T22:26:41.831+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-08-05T22:26:41.841+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: stream_generator.generator_stream_data manual__2025-08-05T22:26:41.518376+00:00 [queued]>
[2025-08-05T22:26:41.847+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: stream_generator.generator_stream_data manual__2025-08-05T22:26:41.518376+00:00 [queued]>
[2025-08-05T22:26:41.848+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-08-05T22:26:41.855+0000] {taskinstance.py:2890} INFO - Executing <Task(StreamProduceOperator): generator_stream_data> on 2025-08-05 22:26:41.518376+00:00
[2025-08-05T22:26:41.860+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=2852) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-08-05T22:26:41.861+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'stream_generator', 'generator_stream_data', 'manual__2025-08-05T22:26:41.518376+00:00', '--job-id', '767', '--raw', '--subdir', 'DAGS_FOLDER/streams_generator.py', '--cfg-path', '/tmp/tmpf8jkelv5']
[2025-08-05T22:26:41.863+0000] {standard_task_runner.py:72} INFO - Started process 2856 to run task
[2025-08-05T22:26:41.863+0000] {standard_task_runner.py:105} INFO - Job 767: Subtask generator_stream_data
[2025-08-05T22:26:41.900+0000] {task_command.py:467} INFO - Running <TaskInstance: stream_generator.generator_stream_data manual__2025-08-05T22:26:41.518376+00:00 [running]> on host 86211193b7ee
[2025-08-05T22:26:41.972+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='stream_generator' AIRFLOW_CTX_TASK_ID='generator_stream_data' AIRFLOW_CTX_EXECUTION_DATE='2025-08-05T22:26:41.518376+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-08-05T22:26:41.518376+00:00'
[2025-08-05T22:26:41.973+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-08-05T22:26:42.133+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-2:19092 <connecting> [IPv4 ('172.18.0.7', 19092)]>: connecting to kafka-broker-2:19092 [('172.18.0.7', 19092) IPv4]
[2025-08-05T22:26:42.140+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-2:19092 <checking_api_versions_recv> [IPv4 ('172.18.0.7', 19092)]>: Broker version identified as 2.6
[2025-08-05T22:26:42.141+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-2:19092 <connected> [IPv4 ('172.18.0.7', 19092)]>: Connection complete.
[2025-08-05T22:26:42.244+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=6 host=kafka-broker-3:19092 <connecting> [IPv4 ('172.18.0.9', 19092)]>: connecting to kafka-broker-3:19092 [('172.18.0.9', 19092) IPv4]
[2025-08-05T22:26:42.244+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=6 host=kafka-broker-3:19092 <connected> [IPv4 ('172.18.0.9', 19092)]>: Connection complete.
[2025-08-05T22:26:42.245+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-2:19092 <connected> [IPv4 ('172.18.0.7', 19092)]>: Closing connection. 
[2025-08-05T22:26:42.251+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Autumn Booker', 'song': 'Pulse', 'album': 'Threshold', 'genre': 'Reggae', 'artist': 'Eric Mullins', 'stream_date': '2001-05-09'}
[2025-08-05T22:26:42.252+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Andrew Ferrell', 'song': 'Infinity', 'album': 'Daybreak', 'genre': 'Hip-Hop', 'artist': 'Angela Thompson', 'stream_date': '1972-03-27'}
[2025-08-05T22:26:42.253+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Cynthia Wells', 'song': 'Echo?', 'album': 'Daybreak', 'genre': 'Country', 'artist': 'Elizabeth Taylor', 'stream_date': '1984-06-30'}
[2025-08-05T22:26:42.253+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Valerie Cruz', 'song': 'Horizon', 'album': 'Exodus', 'genre': 'Hip-Hop', 'artist': 'Hannah Allen', 'stream_date': '2021-08-06'}
[2025-08-05T22:26:42.254+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Thomas Hurst', 'song': 'Eclipse', 'album': 'Nightfall', 'genre': 'Reggae', 'artist': 'Dawn Irwin', 'stream_date': '2011-06-19'}
[2025-08-05T22:26:42.254+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Don Brown', 'song': 'Radiant', 'album': 'Daybreak', 'genre': 'Reggae', 'artist': 'James Tran', 'stream_date': '2008-12-23'}
[2025-08-05T22:26:42.254+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Melissa Johnson', 'song': 'Spectrum', 'album': 'Visions', 'genre': 'R&B', 'artist': 'Jeffrey Shelton', 'stream_date': '1997-10-16'}
[2025-08-05T22:26:42.255+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Shannon Myers', 'song': 'Drift', 'album': 'Afterglow', 'genre': 'R&B', 'artist': 'Lisa Perez', 'stream_date': '1999-01-31'}
[2025-08-05T22:26:42.255+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Leslie Chandler', 'song': 'Ember!', 'album': 'Static', 'genre': 'R&B', 'artist': 'Anthony Larsen', 'stream_date': '2018-10-09'}
[2025-08-05T22:26:42.255+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Tonya Acevedo', 'song': 'Anthem', 'album': 'Afterglow', 'genre': 'Hip-Hop', 'artist': 'Tyler Barnes', 'stream_date': '1973-02-07'}
[2025-08-05T22:26:42.255+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Brittany Smith DVM', 'song': 'Quantum', 'album': 'Rebellion', 'genre': 'Electronic', 'artist': 'Rhonda Ortega', 'stream_date': '2008-11-27'}
[2025-08-05T22:26:42.256+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Rebecca Bradley', 'song': 'Cascade', 'album': 'Paragon', 'genre': 'Country', 'artist': 'Andrea Davis', 'stream_date': '1982-05-30'}
[2025-08-05T22:26:42.256+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Roger Ramirez', 'song': 'Prism!', 'album': 'Exodus', 'genre': 'Electronic', 'artist': 'Victor Robinson', 'stream_date': '1992-01-23'}
[2025-08-05T22:26:42.256+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Darlene Melendez', 'song': 'Radiance', 'album': 'Rebellion', 'genre': 'Classical', 'artist': 'Dana Baldwin', 'stream_date': '1971-12-08'}
[2025-08-05T22:26:42.257+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Richard Lee', 'song': 'Gravity', 'album': 'Islands', 'genre': 'Electronic', 'artist': 'Phillip Smith', 'stream_date': '1995-04-02'}
[2025-08-05T22:26:42.257+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Emily Burke', 'song': 'Ember', 'album': 'Daybreak', 'genre': 'Reggae', 'artist': 'Christopher Peterson', 'stream_date': '1977-03-17'}
[2025-08-05T22:26:42.257+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Sandra Anderson', 'song': 'Paradox', 'album': 'Visions', 'genre': 'Reggae', 'artist': 'Teresa Gibbs', 'stream_date': '2001-02-19'}
[2025-08-05T22:26:42.258+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jennifer Watson', 'song': 'Nomad', 'album': 'Islands', 'genre': 'Reggae', 'artist': 'Frank Jackson', 'stream_date': '1997-03-19'}
[2025-08-05T22:26:42.258+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jose Garcia', 'song': 'Whispers', 'album': 'Islands', 'genre': 'Country', 'artist': 'Jessica Phillips', 'stream_date': '1987-07-09'}
[2025-08-05T22:26:42.258+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Alexander Larsen', 'song': 'Horizon', 'album': 'Daybreak', 'genre': 'Hip-Hop', 'artist': 'Frances Stewart', 'stream_date': '1999-05-13'}
[2025-08-05T22:26:42.258+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Sabrina Wade', 'song': 'Ember', 'album': 'Limelight', 'genre': 'Classical', 'artist': 'Eric Baird', 'stream_date': '2005-05-28'}
[2025-08-05T22:26:42.259+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Anthony Jennings', 'song': 'Vapor', 'album': 'Elysium', 'genre': 'Classical', 'artist': 'Brandon Woodward', 'stream_date': '2022-06-29'}
[2025-08-05T22:26:42.259+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Melissa Wallace', 'song': 'Drift', 'album': 'Paragon', 'genre': 'Reggae', 'artist': 'Daniel Sims', 'stream_date': '2016-06-04'}
[2025-08-05T22:26:42.259+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Timothy Wilson', 'song': 'Pulse!', 'album': 'Afterglow', 'genre': 'Pop', 'artist': 'Maurice West', 'stream_date': '2014-03-04'}
[2025-08-05T22:26:42.259+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'William Banks', 'song': 'Crescendo', 'album': 'Threshold', 'genre': 'Rock', 'artist': 'Julie Mitchell', 'stream_date': '1994-02-23'}
[2025-08-05T22:26:42.260+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Sharon Monroe', 'song': 'Constellation', 'album': 'Afterglow', 'genre': 'Electronic', 'artist': 'Sheila Parsons', 'stream_date': '2013-04-16'}
[2025-08-05T22:26:42.260+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Brittany Martinez', 'song': 'Silhouette', 'album': 'Ascension', 'genre': 'R&B', 'artist': 'Linda Santana', 'stream_date': '1972-10-12'}
