[2025-08-05T21:29:55.184+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-08-05T21:29:55.205+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: stream_generator.generator_stream_data scheduled__2025-02-08T00:00:00+00:00 [queued]>
[2025-08-05T21:29:55.213+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: stream_generator.generator_stream_data scheduled__2025-02-08T00:00:00+00:00 [queued]>
[2025-08-05T21:29:55.214+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-08-05T21:29:55.224+0000] {taskinstance.py:2890} INFO - Executing <Task(StreamProduceOperator): generator_stream_data> on 2025-02-08 00:00:00+00:00
[2025-08-05T21:29:55.231+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=552) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-08-05T21:29:55.231+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'stream_generator', 'generator_stream_data', 'scheduled__2025-02-08T00:00:00+00:00', '--job-id', '726', '--raw', '--subdir', 'DAGS_FOLDER/streams_generator.py', '--cfg-path', '/tmp/tmplp1298k2']
[2025-08-05T21:29:55.233+0000] {standard_task_runner.py:72} INFO - Started process 573 to run task
[2025-08-05T21:29:55.233+0000] {standard_task_runner.py:105} INFO - Job 726: Subtask generator_stream_data
[2025-08-05T21:29:55.263+0000] {task_command.py:467} INFO - Running <TaskInstance: stream_generator.generator_stream_data scheduled__2025-02-08T00:00:00+00:00 [running]> on host ef2c5d727bcb
[2025-08-05T21:29:55.304+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='stream_generator' AIRFLOW_CTX_TASK_ID='generator_stream_data' AIRFLOW_CTX_EXECUTION_DATE='2025-02-08T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-02-08T00:00:00+00:00'
[2025-08-05T21:29:55.305+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-08-05T21:29:55.313+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-3:19092 <connecting> [IPv4 ('172.18.0.9', 19092)]>: connecting to kafka-broker-3:19092 [('172.18.0.9', 19092) IPv4]
[2025-08-05T21:29:55.318+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-3:19092 <checking_api_versions_recv> [IPv4 ('172.18.0.9', 19092)]>: Broker version identified as 2.6
[2025-08-05T21:29:55.319+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-3:19092 <connected> [IPv4 ('172.18.0.9', 19092)]>: Connection complete.
[2025-08-05T21:29:55.424+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=4 host=kafka-broker-1:19092 <connecting> [IPv4 ('172.18.0.8', 19092)]>: connecting to kafka-broker-1:19092 [('172.18.0.8', 19092) IPv4]
[2025-08-05T21:29:55.424+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=4 host=kafka-broker-1:19092 <connected> [IPv4 ('172.18.0.8', 19092)]>: Connection complete.
[2025-08-05T21:29:55.424+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-3:19092 <connected> [IPv4 ('172.18.0.9', 19092)]>: Closing connection. 
[2025-08-05T21:29:55.425+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jessica Griffin', 'song': 'Aurora?', 'album': 'Daybreak', 'genre': 'Hip-Hop', 'artist': 'David Gilbert', 'stream_date': '2012-11-07'}
[2025-08-05T21:29:55.426+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Ryan Lewis', 'song': 'Pulse!', 'album': 'Visions', 'genre': 'Hip-Hop', 'artist': 'Kelly Wilson', 'stream_date': '1983-12-23'}
[2025-08-05T21:29:55.427+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Gregory Powell', 'song': 'Aurora', 'album': 'Static', 'genre': 'Classical', 'artist': 'Mikayla Tapia', 'stream_date': '2017-10-20'}
[2025-08-05T21:29:55.427+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Melissa Beck', 'song': 'Velocity', 'album': 'Elysium', 'genre': 'Classical', 'artist': 'Daniel Stewart', 'stream_date': '1970-12-02'}
[2025-08-05T21:29:55.428+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Paul Lara', 'song': 'Mirage', 'album': 'Rebellion', 'genre': 'Reggae', 'artist': 'Richard Baker', 'stream_date': '1975-11-06'}
[2025-08-05T21:29:55.428+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jason Banks', 'song': 'Crescendo', 'album': 'Sanctuary', 'genre': 'Hip-Hop', 'artist': 'Austin Mitchell', 'stream_date': '1990-06-15'}
[2025-08-05T21:29:55.429+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Christine Wood', 'song': 'Fragment', 'album': 'Threshold', 'genre': 'Country', 'artist': 'Robert Barajas', 'stream_date': '2019-09-15'}
[2025-08-05T21:29:55.429+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Martin Martinez', 'song': 'Silhouette', 'album': 'Visions', 'genre': 'Metal', 'artist': 'Emily Kennedy', 'stream_date': '1990-08-15'}
[2025-08-05T21:29:55.430+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jamie Hebert', 'song': 'Reverie', 'album': 'Utopia', 'genre': 'Metal', 'artist': 'Taylor Snyder', 'stream_date': '1985-07-08'}
[2025-08-05T21:29:55.430+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Anthony Gutierrez', 'song': 'Spectrum?', 'album': 'Static', 'genre': 'Reggae', 'artist': 'Nancy Salazar', 'stream_date': '2005-01-11'}
[2025-08-05T21:29:55.431+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Theresa Cruz', 'song': 'Aurora?', 'album': 'Static', 'genre': 'Reggae', 'artist': 'Richard Allen', 'stream_date': '2016-11-14'}
[2025-08-05T21:29:55.431+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jennifer Buckley', 'song': 'Ember', 'album': 'Islands', 'genre': 'Rock', 'artist': 'Jesus Hawkins', 'stream_date': '1973-11-15'}
[2025-08-05T21:29:55.432+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Elizabeth Ellis', 'song': 'Serenity', 'album': 'Limelight', 'genre': 'Pop', 'artist': 'Brandon Gutierrez', 'stream_date': '1971-03-15'}
[2025-08-05T21:29:55.432+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Mark Herrera', 'song': 'Horizon', 'album': 'Sanctuary', 'genre': 'Metal', 'artist': 'Blake Johnson', 'stream_date': '2010-04-24'}
[2025-08-05T21:29:55.433+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Mary Dixon', 'song': 'Ember!', 'album': 'Rebellion', 'genre': 'Pop', 'artist': 'Crystal Collins', 'stream_date': '1995-07-19'}
[2025-08-05T21:29:55.433+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Ashley Shepherd', 'song': 'Mirage', 'album': 'Paragon', 'genre': 'Jazz', 'artist': 'Lisa Blankenship', 'stream_date': '1984-11-05'}
