[2025-08-05T21:30:02.829+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-08-05T21:30:02.850+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: stream_generator.generator_stream_data scheduled__2025-02-14T00:00:00+00:00 [queued]>
[2025-08-05T21:30:02.861+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: stream_generator.generator_stream_data scheduled__2025-02-14T00:00:00+00:00 [queued]>
[2025-08-05T21:30:02.864+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-08-05T21:30:02.902+0000] {taskinstance.py:2890} INFO - Executing <Task(StreamProduceOperator): generator_stream_data> on 2025-02-14 00:00:00+00:00
[2025-08-05T21:30:02.913+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=588) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-08-05T21:30:02.915+0000] {standard_task_runner.py:72} INFO - Started process 598 to run task
[2025-08-05T21:30:02.914+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'stream_generator', 'generator_stream_data', 'scheduled__2025-02-14T00:00:00+00:00', '--job-id', '733', '--raw', '--subdir', 'DAGS_FOLDER/streams_generator.py', '--cfg-path', '/tmp/tmpa_g89aq9']
[2025-08-05T21:30:02.918+0000] {standard_task_runner.py:105} INFO - Job 733: Subtask generator_stream_data
[2025-08-05T21:30:02.982+0000] {task_command.py:467} INFO - Running <TaskInstance: stream_generator.generator_stream_data scheduled__2025-02-14T00:00:00+00:00 [running]> on host ef2c5d727bcb
[2025-08-05T21:30:03.075+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='stream_generator' AIRFLOW_CTX_TASK_ID='generator_stream_data' AIRFLOW_CTX_EXECUTION_DATE='2025-02-14T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-02-14T00:00:00+00:00'
[2025-08-05T21:30:03.077+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-08-05T21:30:03.106+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-3:19092 <connecting> [IPv4 ('172.18.0.9', 19092)]>: connecting to kafka-broker-3:19092 [('172.18.0.9', 19092) IPv4]
[2025-08-05T21:30:03.114+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-3:19092 <checking_api_versions_recv> [IPv4 ('172.18.0.9', 19092)]>: Broker version identified as 2.6
[2025-08-05T21:30:03.115+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-3:19092 <connected> [IPv4 ('172.18.0.9', 19092)]>: Connection complete.
[2025-08-05T21:30:03.230+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=6 host=kafka-broker-3:19092 <connecting> [IPv4 ('172.18.0.9', 19092)]>: connecting to kafka-broker-3:19092 [('172.18.0.9', 19092) IPv4]
[2025-08-05T21:30:03.239+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=6 host=kafka-broker-3:19092 <connected> [IPv4 ('172.18.0.9', 19092)]>: Connection complete.
[2025-08-05T21:30:03.239+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-3:19092 <connected> [IPv4 ('172.18.0.9', 19092)]>: Closing connection. 
[2025-08-05T21:30:03.242+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jessica Griffin', 'song': 'Aurora?', 'album': 'Daybreak', 'genre': 'Classical', 'artist': 'David Gilbert', 'stream_date': '2012-11-07'}
[2025-08-05T21:30:03.244+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=4 host=kafka-broker-1:19092 <connecting> [IPv4 ('172.18.0.8', 19092)]>: connecting to kafka-broker-1:19092 [('172.18.0.8', 19092) IPv4]
[2025-08-05T21:30:03.245+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Ryan Lewis', 'song': 'Pulse!', 'album': 'Visions', 'genre': 'Hip-Hop', 'artist': 'Kelly Wilson', 'stream_date': '1983-12-23'}
[2025-08-05T21:30:03.247+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Gregory Powell', 'song': 'Aurora', 'album': 'Static', 'genre': 'Metal', 'artist': 'Mikayla Tapia', 'stream_date': '2017-10-20'}
[2025-08-05T21:30:03.248+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Melissa Beck', 'song': 'Velocity', 'album': 'Elysium', 'genre': 'Jazz', 'artist': 'Daniel Stewart', 'stream_date': '1970-12-02'}
[2025-08-05T21:30:03.249+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Paul Lara', 'song': 'Mirage', 'album': 'Rebellion', 'genre': 'Hip-Hop', 'artist': 'Richard Baker', 'stream_date': '1975-11-06'}
[2025-08-05T21:30:03.246+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=4 host=kafka-broker-1:19092 <connected> [IPv4 ('172.18.0.8', 19092)]>: Connection complete.
[2025-08-05T21:30:03.250+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jason Banks', 'song': 'Crescendo', 'album': 'Sanctuary', 'genre': 'Electronic', 'artist': 'Austin Mitchell', 'stream_date': '1990-06-15'}
[2025-08-05T21:30:03.254+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Christine Wood', 'song': 'Fragment', 'album': 'Threshold', 'genre': 'Country', 'artist': 'Robert Barajas', 'stream_date': '2019-09-15'}
[2025-08-05T21:30:03.255+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Martin Martinez', 'song': 'Silhouette', 'album': 'Visions', 'genre': 'Classical', 'artist': 'Emily Kennedy', 'stream_date': '1990-08-15'}
[2025-08-05T21:30:03.255+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jamie Hebert', 'song': 'Reverie', 'album': 'Utopia', 'genre': 'Hip-Hop', 'artist': 'Taylor Snyder', 'stream_date': '1985-07-08'}
[2025-08-05T21:30:03.256+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Anthony Gutierrez', 'song': 'Spectrum?', 'album': 'Static', 'genre': 'Country', 'artist': 'Nancy Salazar', 'stream_date': '2005-01-11'}
[2025-08-05T21:30:03.258+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Theresa Cruz', 'song': 'Aurora?', 'album': 'Static', 'genre': 'Reggae', 'artist': 'Richard Allen', 'stream_date': '2016-11-14'}
[2025-08-05T21:30:03.260+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jennifer Buckley', 'song': 'Ember', 'album': 'Islands', 'genre': 'Reggae', 'artist': 'Jesus Hawkins', 'stream_date': '1973-11-15'}
[2025-08-05T21:30:03.262+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Elizabeth Ellis', 'song': 'Serenity', 'album': 'Limelight', 'genre': 'Pop', 'artist': 'Brandon Gutierrez', 'stream_date': '1971-03-15'}
[2025-08-05T21:30:03.262+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Mark Herrera', 'song': 'Horizon', 'album': 'Sanctuary', 'genre': 'Rock', 'artist': 'Blake Johnson', 'stream_date': '2010-04-24'}
